cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel,FactualityScore
ENT1ST0005HS0029CN000114P1,Everything will be better if Muslims did not exist. Their only contribute to our society is violence.,"Stats show Muslims are more likely to be victims of crime, not perpetrators. This kind of sentiment is false only serves to fuel hate crime against Muslims.",Islamophobia,"crimes , rapism",facts,25.0,female,Bachelor,0
FRT1ST0012HS0037CN001687P1,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Ne pas parler/penser à la place des musulmans.,Islamophobia,"culture , women",denouncing,27.0,male,Master,0
ITT1ST0011HS0062CN000227T1,Islam is fanaticism. Muslims want to kill all who do not believe in their god.,"Islam is a peaceful religion, not fanaticism. The Isis is fanaticism, and I would like to point out that the first victims are Muslims.",Islamophobia,"culture , terrorism",facts,,,,0
FRT1ST0012HS0050CN001487,Le voile islamique est la démonstration d'un islam politique.,Non ces le droit à chaque personne de s'habillier librement.,Islamophobia,"culture , women",facts,37.0,male,Some university without degree,0
FRT1ST0012HS0050CN000090P1,Le voile représente l'humeur politique des musulmans.,"Le voile n'est pas la démonstration de quoi que ce soit, une foi ne peut se démontrer, elle se ressent.",Islamophobia,"culture , women",facts,41.0,male,Bachelor,0
ENT1ST0008HS0086CN000235P2,"This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.","If you have a deep conversation with Muslims, you will know they are different from what you think. Have you thought about that if they could stay safely in their country, would they want to move to other countries and start new life in a completely new place?",Islamophobia,culture,"hypocrisy , question",29.0,female,Master,0
FRT1ST0008HS0047CN000823P1,Le voile islamique est un assaut pour nous.,Ta parole est une agression contre ma religion.,Islamophobia,culture,hypocrisy,49.0,male,High school,0
ITT1ST0015HS0022CN000703P2,"I musulmani sono intolleranti nei nostri confronti, vogliono eliminare tutti i cristiani.","I cristiani hanno istituito crociate con la scusa di 'sterminare gli infedeli', dei musulmani invece non si è mai sentito niente del genere.",Islamophobia,islamization,"facts , hypocrisy",28.0,female,Bachelor,0
FRT1ST0022HS0004CN000286T1,Muslims are all fundamentalist Islamist Salafist terrorists.,"If you like it. Are you sure you haven't forgotten anything? If it can be, mix more.",Islamophobia,terrorism,humor,,,,0
FRT1ST0014HS0046CN000969T1,Islam is a disease that must be eradicated.,Islam is a religion that preaches tolerance.,Islamophobia,generic,"facts , positive",,,,0
FRT1ST0014HS0043CN000234P2,L'islam pose beaucoup de problèmes à notre société.,Cette impression résulte certainement d'une surmédiatisation des musulmans. Le sujet fait vendre!,Islamophobia,generic,"denouncing , facts",45.0,male,Master,0
FRT1ST0012HS0037CN001686,Les femmes voilées sont soumises et obligées de porter le foulard.,Mais chaque être humain reste libre dans sa pratique.,Islamophobia,"culture , women",facts,27.0,male,Master,0
ITT1ST0014HS0035CN000437P2,Dovete morire voi islamici.,"Salve, forse dovrebbe informarsi sul fatto che la religione islamica non ha niente a che fare con l'isis che è fanatismo ed estremismo. Quindi non vedo il motivo di augurare la morte a una persona il cui unico 'crimine' è credere in una religione pacifica.",Islamophobia,generic,"denouncing , facts",17.0,female,Less than high school,0
FRT1ST0012HS0050CN001416,Le voile islamique est la démonstration d'un islam politique.,Le voile chretien n'est pourtant pas relié à la politique alors que c'est la même motivation.,Islamophobia,"culture , women","facts , hypocrisy",55.0,female,Some university without degree,0
FRT1ST0015HS0042CN000415P1,L'islamisation est une menace.,L'islam compte certes beaucoup de fidèle mais là vous exagéré quelque peu.,Islamophobia,islamization,facts,34.0,male,Master,0
ITT1ST0008HS0017CN000122P1,È inconcepibile pensare che nel 2018 esista ancora una religione tanto tradizionalista. Noi li accogliamo anche in gran numero nel nostro paese! L'italia deve rimanere uno stato cristiano!,"L'islam non è una religione retrograda. Per quasi mille anni, il cuore dello sviluppo tecnologico e filosofico è avvenuto nei paesi arabi, dopo il crollo dell'Impero Romano, mentre in europa si viveva nei secoli bui. Gran parte dell'opinione comune sull'islam sono pregiudizi.",Islamophobia,culture,facts,25.0,male,Master,0
FRT1ST0008HS0047CN000738P1,Le voile islamique est un assaut pour nous.,Et le voile de la sœur chrétienne n'est pas une agression pour toi?,Islamophobia,culture,question,27.0,female,Master,0
ITT1ST0015HS0040CN000625P2,Queste persone terribili desiderano serrare tutte le nostre chiese.,Chiedono solo di poter praticare la loro religione.,Islamophobia,islamization,facts,41.0,female,High school,0
ITT1ST0015HS0022CN000713P1,Gli islamici sono in conflitto con i cristiani e per questo vogliono sterminarli tutti.,"Ci sono sicuramente (poche) persone che odiano i cristiani. Ci sono cristiani che hanno ucciso e distrutto interi paesi musulmani, stuprato le loro figlie e ucciso le loro mogli.",Islamophobia,islamization,"facts , hypocrisy",25.0,male,Bachelor,0
ITT1ST0015HS0009CN000654P2,"L'islam tra pochi anni prenderà il controllo costringendo tutte quelle buoniste che li sostengono, per seguire la moda, ad indossare il velo!",Non tutti i musulmani impongono il velo alle donne.,Islamophobia,islamization,facts,25.0,female,PhD,0
FRT1ST0012HS0037CN001654,Les femmes voilées sont soumises et obligées de porter le foulard.,Ces personnes qui pense cela vont à l'encontre de l'an liberte féminine.,Islamophobia,"culture , women","denouncing , facts",37.0,male,Some university without degree,0
ITT1ST0015HS0036CN000588P1,"È imbarazzante che non ci siano più i crocefissi nelle scuole, non rispetta la nostra religione.","A scuola dovrebbero insegnare a rispettare tutti, a prescindere dalla propria religione.",Islamophobia,islamization,"facts , positive",27.0,female,Bachelor,0
FRT1ST0012HS0037CN001639,Les femmes voilées sont soumises et obligées de porter le foulard.,N'est ce pas la peur de la différence qui vous fait dire çelà?,Islamophobia,"culture , women",question,34.0,male,Master,0
ITT1ST0011HS0062CN000163T1,Islam is fanaticism. Muslims want to kill all who do not believe in their god.,On what basis do you do these statements? Where are the facts and the data which led you to say that? Should I think that all Italian muslims would kill me because I am Catholic?,Islamophobia,"culture , terrorism",question,,,,0
